,Gridcell,LaunchZone,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-16 17:03:00,18.0,0.0,8420220.716193056,8420220.757298578,8420220.713353783,534552.40954754,534554.4668201203,534554.4667594801,0.0,0.0,2.057213899378774,-0.00283927284181118,0.0,-14.289603869083335,-14.289603471749999,-14.289603869083335,-170.67963918083333,-170.67962010708334,-170.67962010708334,2.0572119400603697,0.03428689832297957,0.0,6.934774948730293e-09
2014-02-16 17:04:00,24.0,5.0,8420083.990393598,8420086.247973556,8420081.002711222,534687.8573683718,534682.5118085132,534693.6133026377,295.3500961957636,-1.7976353162264595e-06,6.4851387990175855,-2.9876823741942644,-64.64990380423643,-14.2908384005,-14.290818055250002,-14.290865341916664,-170.67838160199997,-170.67843119333338,-170.67832819641663,5.755934265907854,0.1080856466502931,-1.7420080339485626e-06,8.253076391184776e-07
2014-02-16 17:04:00,38.0,2.0,8419852.026879705,8419854.661420142,8419850.268400602,534691.1016657322,534686.4424250885,534697.8192785712,291.1553508484247,-1.8420204914360538e-06,6.9439593179814025,-1.7584791034460068,-68.84464915157531,-14.292935689166667,-14.292911927,-14.292951504499998,-170.67834854133332,-170.67839177458328,-170.67828623458334,6.7176128388382494,0.11573265529969005,-1.785003105446511e-06,6.90757278792864e-07
2014-02-16 17:04:00,31.0,0.0,8419985.649639249,8419987.531916901,8419981.232357813,534721.0472307535,534713.7811508996,534730.9155123724,290.2237551971049,-2.774131031867181e-06,10.81181563815696,-4.417281435802579,-69.77624480289515,-14.291727145666664,-14.291710217916664,-14.291766961333332,-170.67807261150003,-170.67814000474996,-170.67798105875005,9.868281618924811,0.18019692730261602,-2.688275721297489e-06,9.903585292125872e-07
2014-02-16 17:04:00,18.0,0.0,8420220.757298578,8420220.391610583,8420220.716193056,534554.4668201203,534558.3064156695,534552.40954754,93.09089050723395,9.543067645961315e-07,2.057683195666352,-0.041105521842837334,93.09089050723395,-14.289603471749999,-14.289606730250002,-14.289603869083335,-170.67962010708334,-170.6795845030834,-170.67963918083333,-2.057272580335848,0.034294719927772534,9.24781009814575e-07,-4.9936887680512854e-08
2014-02-16 17:05:00,38.0,2.0,8419854.661420142,8419856.330657806,8419852.026879705,534686.4424250885,534680.6846978684,534691.1016657322,292.4960896219958,-1.68666873618569e-06,5.352506580229727,-2.634540436789393,-67.50391037800425,-14.292911927,-14.292896906500001,-14.292935689166667,-170.67839177458328,-170.67844518033334,-170.67834854133332,4.6592406439594924,0.08920844300382877,-1.6344601740476297e-06,6.768848857252596e-07
2014-02-16 17:05:00,31.0,0.0,8419987.531916901,8419987.88366624,8419985.649639249,534713.7811508996,534707.335880594,534721.0472307535,279.23163292322397,-2.2192995895613615e-06,7.505923367406175,-1.882277650758624,-80.76836707677595,-14.291710217916664,-14.291707118333335,-14.291727145666664,-170.67814000474996,-170.67819976799998,-170.67807261150003,7.266079853870907,0.12509872279010292,-2.1506155327888213e-06,3.495423178401236e-07
2014-02-16 17:05:00,24.0,5.0,8420086.247973556,8420082.132012941,8420083.990393598,534682.5118085132,534671.5345274024,534687.8573683718,263.3841223521784,-2.6409682286535115e-06,5.802730173715212,-2.2575799580663443,-96.61587764782156,-14.290818055250002,-14.290855407750001,-14.2908384005,-170.67843119333338,-170.67853291833333,-170.67838160199997,5.345559858600608,0.09671216956192023,-2.5592438389492347e-06,-2.9683334334951184e-07
2014-02-16 17:05:00,18.0,0.0,8420220.391610583,8420215.377753247,8420220.757298578,534558.3064156695,534561.0423858062,534554.4668201203,129.3850803999593,1.0652631636572672e-06,3.856970532720955,0.36568799428641796,129.38508039995932,-14.289606730250002,-14.289652029583335,-14.289603471749999,-170.6795845030834,-170.67955907200002,-170.67962010708334,-3.8395955491578206,0.06428284221201591,1.032304267738041e-06,-8.474942050917812e-07
2014-02-16 17:06:00,18.0,0.0,8420215.377753247,8420215.342591936,8420220.391610583,534561.0423858062,534561.042328315,534558.3064156695,151.62039651910092,4.4385468277357283e-07,5.711768374436909,5.013857334852219,151.62039651910092,-14.289652029583335,-14.2896523475,-14.289606730250002,-170.67955907200002,-170.67955907208332,-170.6795845030834,-2.735970136709512,0.09519613957394847,4.301219625975994e-07,-7.961712317761105e-07
2014-02-16 17:06:00,24.0,5.0,8420082.132012941,8420091.497544171,8420086.247973556,534671.5345274024,534668.256023709,534682.5118085132,290.25353393157843,-2.3080670360897493e-06,11.723558861042886,4.11596061475575,-69.74646606842154,-14.290855407750001,-14.290770769083332,-14.290818055250002,-170.67853291833333,-170.67856343583338,-170.67843119333338,10.977281110826883,0.1953926476840481,-2.2366450685027445e-06,8.252986618551006e-07
2014-02-16 17:06:00,38.0,2.0,8419856.330657806,8419860.437638486,8419854.661420142,534680.6846978684,534672.7360507129,534686.4424250885,292.90170181171453,-2.219299591049519e-06,5.994812517355004,-1.6692376639693975,-67.09829818828554,-14.292896906500001,-14.292859872249998,-14.292911927,-170.67844518033334,-170.67851893108332,-170.67839177458328,5.7577272199559975,0.0999135419559167,-2.15060451133786e-06,9.085261896413229e-07
2014-02-16 17:06:00,31.0,0.0,8419987.88366624,8419991.08153241,8419987.531916901,534707.335880594,534702.1288286651,534713.7811508996,286.9633239364186,-1.8863983989818096e-06,6.454861494307583,-0.3517493400722742,-73.03667606358134,-14.291707118333335,-14.291678269666667,-14.291710217916664,-170.67819976799998,-170.67824808741668,-170.67814000474996,6.44527030561585,0.10758102490512636,-1.828017378688839e-06,5.576017270414457e-07
2014-02-16 17:07:00,38.0,2.0,8419860.437638486,8419864.97687409,8419856.330657806,534672.7360507129,534663.6908333581,534680.6846978684,297.03297238848427,-2.7519333532765144e-06,8.946970543461727,-4.106980679556727,-62.96702761151576,-14.292859872249998,-14.29281894341667,-14.292896906500001,-170.67851893108332,-170.6786028545,-170.67844518033334,7.948647155542858,0.1491161757243621,-2.6667518821662965e-06,1.3607115932623426e-06
2014-02-16 17:07:00,24.0,5.0,8420091.497544171,8420090.47649434,8420082.132012941,534668.256023709,534656.5972653282,534671.5345274024,299.2638077004213,-2.4190379789114536e-06,9.922790015628687,-9.365531230345367,-60.73619229957861,-14.290770769083332,-14.290780146999998,-14.290855407750001,-170.67856343583338,-170.67867151899998,-170.67853291833333,3.2785036934074014,0.16537983359381148,-2.3441819738657054e-06,1.3135471851333236e-06
